DATE,DSPIC96
1959-01-01,2327.5000000000000000
1959-04-01,2364.9666666666666667
1959-07-01,2361.8000000000000000
1959-10-01,2378.6000000000000000
1960-01-01,2406.1000000000000000
1960-04-01,2421.6000000000000000
1960-07-01,2426.2666666666666667
1960-10-01,2425.2333333333333333
1961-01-01,2448.1333333333333333
1961-04-01,2485.3333333333333333
1961-07-01,2518.4000000000000000
1961-10-01,2567.5000000000000000
1962-01-01,2592.8000000000000000
1962-04-01,2620.7666666666666667
1962-07-01,2634.9333333333333333
1962-10-01,2658.2666666666666667
1963-01-01,2681.3666666666666667
1963-04-01,2706.0666666666666667
1963-07-01,2735.6666666666666667
1963-10-01,2780.2333333333333333
1964-01-01,2834.6000000000000000
1964-04-01,2911.0333333333333333
1964-07-01,2948.9666666666666667
1964-10-01,2982.5333333333333333
1965-01-01,3017.6333333333333333
1965-04-01,3051.6666666666666667
1965-07-01,3135.1333333333333333
1965-10-01,3198.3000000000000000
1966-01-01,3229.9333333333333333
1966-04-01,3238.4666666666666667
1966-07-01,3278.0666666666666667
1966-10-01,3316.4666666666666667
1967-01-01,3366.4666666666666667
1967-04-01,3393.2000000000000000
1967-07-01,3425.4666666666666667
1967-10-01,3450.4666666666666667
1968-01-01,3508.0000000000000000
1968-04-01,3565.7333333333333333
1968-07-01,3577.1000000000000000
1968-10-01,3604.8000000000000000
1969-01-01,3613.7000000000000000
1969-04-01,3649.0000000000000000
1969-07-01,3723.5000000000000000
1969-10-01,3751.9666666666666667
1970-01-01,3791.3666666666666667
1970-04-01,3838.1666666666666667
1970-07-01,3899.5000000000000000
1970-10-01,3890.1333333333333333
1971-01-01,3967.7333333333333333
1971-04-01,4025.4666666666666667
1971-07-01,4046.5666666666666667
1971-10-01,4093.7666666666666667
1972-01-01,4112.5333333333333333
1972-04-01,4155.2333333333333333
1972-07-01,4236.0000000000000000
1972-10-01,4405.8000000000000000
1973-01-01,4439.2000000000000000
1973-04-01,4476.6666666666666667
1973-07-01,4496.9000000000000000
1973-10-01,4546.0666666666666667
1974-01-01,4470.8333333333333333
1974-04-01,4429.1333333333333333
1974-07-01,4433.1000000000000000
1974-10-01,4427.1000000000000000
1975-01-01,4420.5333333333333333
1975-04-01,4625.0333333333333333
1975-07-01,4557.7333333333333333
1975-10-01,4593.5000000000000000
1976-01-01,4648.8000000000000000
1976-04-01,4675.2666666666666667
1976-07-01,4711.7666666666666667
1976-10-01,4741.7000000000000000
1977-01-01,4752.3000000000000000
1977-04-01,4796.9333333333333333
1977-07-01,4863.5333333333333333
1977-10-01,4956.5333333333333333
1978-01-01,4995.5000000000000000
1978-04-01,5048.4000000000000000
1978-07-01,5087.6000000000000000
1978-10-01,5121.0666666666666667
1979-01-01,5182.4000000000000000
1979-04-01,5135.7333333333333333
1979-07-01,5159.7333333333333333
1979-10-01,5170.0000000000000000
1980-01-01,5189.7000000000000000
1980-04-01,5144.2666666666666667
1980-07-01,5200.4000000000000000
1980-10-01,5270.0000000000000000
1981-01-01,5260.5666666666666667
1981-04-01,5265.0000000000000000
1981-07-01,5377.6333333333333333
1981-10-01,5381.6333333333333333
1982-01-01,5394.3666666666666667
1982-04-01,5427.9666666666666667
1982-07-01,5455.8000000000000000
1982-10-01,5475.8000000000000000
1983-01-01,5530.6000000000000000
1983-04-01,5570.2000000000000000
1983-07-01,5653.0333333333333333
1983-10-01,5775.7666666666666667
1984-01-01,5886.2333333333333333
1984-04-01,5981.2666666666666667
1984-07-01,6059.2666666666666667
1984-10-01,6109.4000000000000000
1985-01-01,6094.8666666666666667
1985-04-01,6216.4000000000000000
1985-07-01,6199.3333333333333333
1985-10-01,6267.4333333333333333
1986-01-01,6352.2333333333333333
1986-04-01,6432.0000000000000000
1986-07-01,6468.0333333333333333
1986-10-01,6468.8333333333333333
1987-01-01,6516.5666666666666667
1987-04-01,6448.9666666666666667
1987-07-01,6565.0333333333333333
1987-10-01,6659.7333333333333333
1988-01-01,6769.3333333333333333
1988-04-01,6846.7666666666666667
1988-07-01,6916.3333333333333333
1988-10-01,6982.3333333333333333
1989-01-01,7057.7333333333333333
1989-04-01,7034.6333333333333333
1989-07-01,7080.9000000000000000
1989-10-01,7141.8333333333333333
1990-01-01,7198.9333333333333333
1990-04-01,7252.1666666666666667
1990-07-01,7253.2000000000000000
1990-10-01,7195.1000000000000000
1991-01-01,7217.2000000000000000
1991-04-01,7271.4000000000000000
1991-07-01,7299.3333333333333333
1991-10-01,7356.6666666666666667
1992-01-01,7498.6000000000000000
1992-04-01,7568.9333333333333333
1992-07-01,7601.8000000000000000
1992-10-01,7635.2666666666666667
1993-01-01,7664.4666666666666667
1993-04-01,7688.3666666666666667
1993-07-01,7694.7000000000000000
1993-10-01,7748.1333333333333333
1994-01-01,7798.6333333333333333
1994-04-01,7876.3666666666666667
1994-07-01,7922.8000000000000000
1994-10-01,8036.1666666666666667
1995-01-01,8104.0666666666666667
1995-04-01,8126.4666666666666667
1995-07-01,8200.0666666666666667
1995-10-01,8246.7333333333333333
1996-01-01,8323.4333333333333333
1996-04-01,8398.5666666666666667
1996-07-01,8464.2000000000000000
1996-10-01,8506.9666666666666667
1997-01-01,8584.8666666666666667
1997-04-01,8658.7000000000000000
1997-07-01,8761.0666666666666667
1997-10-01,8890.4333333333333333
1998-01-01,9079.5000000000000000
1998-04-01,9206.7666666666666667
1998-07-01,9298.2666666666666667
1998-10-01,9367.9333333333333333
1999-01-01,9468.1333333333333333
1999-04-01,9474.5333333333333333
1999-07-01,9541.6000000000000000
1999-10-01,9665.1666666666666667
